Department,Department Category,Organization,Position,Year,Salary,Real Salary (2013 dollars)
Botany,Science and Math,NAS,Professor,2007,104535,117455.06
Botany,Science and Math,NAS,Professor,2006,98558,113939.88
Botany,Science and Math,NAS,Professor,2005,96053,114621.72
Botany,Science and Math,NAS,Professor,2003,87038,110174.68
Botany,Science and Math,NAS,Professor,2002,84580,109559.59
Botany,Science and Math,NAS,Professor,2001,81122,106739.47
Botany,Science and Math,NAS,Professor,2000,75985,102821.38
Botany,Science and Math,NAS,Professor,1999,73025,102132.87
Botany,Science and Math,NAS,Professor,1998,69714,99591.43
Botany,Science and Math,NAS,Professor,1997,67597,98108.85
Botany,Science and Math,NAS,Professor,1996,63833,94707.72
Botany,Science and Math,NAS,Professor,1995,61819,94524.46
Botany,Science and Math,NAS,Professor,1994,60582,95254.72
Botany,Science and Math,NAS,Professor,1993,58663,94617.74
Botany,Science and Math,NAS,Professor,1992,56170,93305.65
Botany,Science and Math,NAS,Professor,1991,56194,96058.12
Botany,Science and Math,NAS,Professor,1990,55062,98149.73
Chemistry & Biochemistry,Science and Math,NAS,Professor,2009,122543,133054.29
Chemistry & Biochemistry,Science and Math,NAS,Professor,2008,120948,130896.1
Chemistry & Biochemistry,Science and Math,NAS,Professor,2007,117063,131531.46
Chemistry & Biochemistry,Science and Math,NAS,Professor,2006,111628,129049.71
Chemistry & Biochemistry,Science and Math,NAS,Professor,2005,106226,126761.34
Chemistry & Biochemistry,Science and Math,NAS,Professor,2003,98363,124510.13
Chemistry & Biochemistry,Science and Math,NAS,Professor,2002,95476,123673.58
Chemistry & Biochemistry,Science and Math,NAS,Professor,2001,92582,121818.42
Chemistry & Biochemistry,Science and Math,NAS,Professor,2000,89245,120764.55
Chemistry & Biochemistry,Science and Math,NAS,Professor,1999,86035,120328.67
Chemistry & Biochemistry,Science and Math,NAS,Professor,1998,84367,120524.29
Chemistry & Biochemistry,Science and Math,NAS,Professor,1997,79032,114705.37
Chemistry & Biochemistry,Science and Math,NAS,Professor,1996,75141,111485.16
Chemistry & Biochemistry,Science and Math,NAS,Professor,1995,72999,111619.27
Chemistry & Biochemistry,Science and Math,NAS,Professor,1994,70360,110628.93
Chemistry & Biochemistry,Science and Math,NAS,Professor,1993,67529,108917.74
Chemistry & Biochemistry,Science and Math,NAS,Professor,1992,67163,111566.45
Chemistry & Biochemistry,Science and Math,NAS,Professor,1991,64978,111073.5
Chemistry & Biochemistry,Science and Math,NAS,Professor,1990,63612,113390.37
Classics,Humanities,NAS,Professor,2009,101170,109847.99
Classics,Humanities,NAS,Professor,2008,102834,111292.21
Classics,Humanities,NAS,Professor,2007,100226,112613.48
Classics,Humanities,NAS,Professor,2006,97075,112225.43
Classics,Humanities,NAS,Professor,2005,92904,110863.96
Classics,Humanities,NAS,Professor,2003,85855,108677.22
Classics,Humanities,NAS,Professor,2002,82419,106760.36
Classics,Humanities,NAS,Professor,2001,80195,105519.74
Classics,Humanities,NAS,Professor,2000,75283,101871.45
Classics,Humanities,NAS,Professor,1999,74486,104176.22
Classics,Humanities,NAS,Professor,1998,70780,101114.29
Classics,Humanities,NAS,Professor,1997,67204,97538.46
Classics,Humanities,NAS,Professor,1996,67395,99992.58
Classics,Humanities,NAS,Professor,1995,64601,98778.29
Classics,Humanities,NAS,Professor,1994,62466,98216.98
Classics,Humanities,NAS,Professor,1993,59605,96137.1
Classics,Humanities,NAS,Professor,1992,60574,100621.26
Classics,Humanities,NAS,Professor,1991,59604,101887.18
Classics,Humanities,NAS,Professor,1990,59592,106224.6
Communication,Humanities,NAS,Professor,2009,101257,109942.45
Communication,Humanities,NAS,Professor,2008,99862,108075.76
Communication,Humanities,NAS,Professor,2007,96123,108003.37
Communication,Humanities,NAS,Professor,2006,93941,108602.31
Communication,Humanities,NAS,Professor,2005,90008,107408.11
Communication,Humanities,NAS,Professor,2003,83069,105150.63
Communication,Humanities,NAS,Professor,2002,81503,105573.83
Communication,Humanities,NAS,Professor,2001,78598,103418.42
Communication,Humanities,NAS,Professor,2000,73406,99331.53
Communication,Humanities,NAS,Professor,1999,69893,97752.45
Communication,Humanities,NAS,Professor,1998,69369,99098.57
Comparative Religion,Humanities,NAS,Professor,2009,105011,114018.46
Comparative Religion,Humanities,NAS,Professor,2008,106394,115145.02
Comparative Religion,Humanities,NAS,Professor,2007,101902,114496.63
Comparative Religion,Humanities,NAS,Professor,2006,94715,109497.11
Comparative Religion,Humanities,NAS,Professor,2005,88960,106157.52
Comparative Religion,Humanities,NAS,Professor,2003,85364,108055.7
Comparative Religion,Humanities,NAS,Professor,2002,83127,107677.46
Comparative Religion,Humanities,NAS,Professor,2001,81359,107051.32
Comparative Religion,Humanities,NAS,Professor,2000,76522,103548.04
Comparative Religion,Humanities,NAS,Professor,1999,73919,103383.22
Comparative Religion,Humanities,NAS,Professor,1998,70344,100491.43
Comparative Religion,Humanities,NAS,Professor,1997,66631,96706.82
Comparative Religion,Humanities,NAS,Professor,1996,63231,93814.54
Comparative Religion,Humanities,NAS,Professor,1995,61573,94148.32
Comparative Religion,Humanities,NAS,Professor,1994,61200,96226.42
Comparative Religion,Humanities,NAS,Professor,1993,57683,93037.1
Comparative Religion,Humanities,NAS,Professor,1992,59096,98166.11
Comparative Religion,Humanities,NAS,Professor,1991,58261,99591.45
Comparative Religion,Humanities,NAS,Professor,1990,56391,100518.72
Software Engineering,Engineering and Computer Science,NAS,Professor,2009,134554,146095.55
MIS,Business,NAS,Professor,2009,156803,170252.99
Economics,Business,NAS,Professor,2009,127649,138598.26
Economics,Business,NAS,Professor,2008,132160,143030.3
Economics,Business,NAS,Professor,2007,129065,145016.85
Economics,Business,NAS,Professor,2006,116934,135183.82
Economics,Business,NAS,Professor,2005,114820,137016.71
Economics,Business,NAS,Professor,2003,103363,130839.24
Economics,Business,NAS,Professor,2002,104893,135871.76
Economics,Business,NAS,Professor,2001,99664,131136.84
Economics,Business,NAS,Professor,2000,94492,127864.68
Economics,Business,NAS,Professor,1999,89082,124590.21
Economics,Business,NAS,Professor,1998,87237,124624.29
Economics,Business,NAS,Professor,1997,82608,119895.5
Economics,Business,NAS,Professor,1996,75898,112608.31
Economics,Business,NAS,Professor,1995,72197,110392.97
Economics,Business,NAS,Professor,1994,75908,119352.2
Economics,Business,NAS,Professor,1993,72936,117638.71
Economics,Business,NAS,Professor,1992,71690,119086.38
Economics,Business,NAS,Professor,1991,64284,109887.18
Economics,Business,NAS,Professor,1990,61073,108864.53
Educational Leadership,Education and Health,NAS,Professor,2009,104345,113295.33
Educational Leadership,Education and Health,NAS,Professor,2008,102604,111043.29
Educational Leadership,Education and Health,NAS,Professor,2007,101093,113587.64
Educational Leadership,Education and Health,NAS,Professor,2006,96887,112008.09
Educational Leadership,Education and Health,NAS,Professor,2005,93429,111490.45
Educational Leadership,Education and Health,NAS,Professor,2003,86633,109662.03
Educational Leadership,Education and Health,NAS,Professor,2002,86765,112389.9
Educational Leadership,Education and Health,NAS,Professor,2001,85370,112328.95
Educational Leadership,Education and Health,NAS,Professor,2000,81689,110539.92
Educational Leadership,Education and Health,NAS,Professor,1999,78149,109299.3
Educational Leadership,Education and Health,NAS,Professor,1998,74989,107127.14
Educational Leadership,Education and Health,NAS,Professor,1997,71142,103253.99
Educational Leadership,Education and Health,NAS,Professor,1996,67318,99878.34
Educational Leadership,Education and Health,NAS,Professor,1995,65172,99651.38
Educational Leadership,Education and Health,NAS,Professor,1994,63654,100084.91
Educational Leadership,Education and Health,NAS,Professor,1993,61527,99237.1
Educational Leadership,Education and Health,NAS,Professor,1992,58197,96672.76
Educational Leadership,Education and Health,NAS,Professor,1991,57084,97579.49
Educational Leadership,Education and Health,NAS,Professor,1990,56251,100269.16
Educational Psychology,Education and Health,NAS,Professor,2009,102429,111214.98
Educational Psychology,Education and Health,NAS,Professor,2008,102978,111448.05
Educational Psychology,Education and Health,NAS,Professor,2007,99213,111475.28
Educational Psychology,Education and Health,NAS,Professor,2006,95695,110630.06
Educational Psychology,Education and Health,NAS,Professor,2005,92524,110410.5
Educational Psychology,Education and Health,NAS,Professor,2003,82696,104678.48
Educational Psychology,Education and Health,NAS,Professor,2002,82200,106476.68
Educational Psychology,Education and Health,NAS,Professor,2001,80895,106440.79
Educational Psychology,Education and Health,NAS,Professor,2000,77112,104346.41
Educational Psychology,Education and Health,NAS,Professor,1999,71868,100514.69
Educational Psychology,Education and Health,NAS,Professor,1998,70779,101112.86
Educational Psychology,Education and Health,NAS,Professor,1997,68682,99683.6
Educational Psychology,Education and Health,NAS,Professor,1996,66003,97927.3
Educational Psychology,Education and Health,NAS,Professor,1995,63686,97379.2
Educational Psychology,Education and Health,NAS,Professor,1994,60371,94922.96
Educational Psychology,Education and Health,NAS,Professor,1993,57981,93517.74
Educational Psychology,Education and Health,NAS,Professor,1992,55528,92239.2
Educational Psychology,Education and Health,NAS,Professor,1991,55185,94333.33
Educational Psychology,Education and Health,NAS,Professor,1990,52473,93534.76
Electrical & Computer Engineering,Engineering and Computer Science,NAS,Professor,2009,133629,145091.21
Electrical & Computer Engineering,Engineering and Computer Science,NAS,Professor,2008,132315,143198.05
Electrical & Computer Engineering,Engineering and Computer Science,NAS,Professor,2007,128646,144546.07
Electrical & Computer Engineering,Engineering and Computer Science,NAS,Professor,2006,124712,144175.72
Electrical & Computer Engineering,Engineering and Computer Science,NAS,Professor,2005,117805,140578.76
Electrical & Computer Engineering,Engineering and Computer Science,NAS,Professor,2003,108529,137378.48
Electrical & Computer Engineering,Engineering and Computer Science,NAS,Professor,2002,105724,136948.19
Electrical & Computer Engineering,Engineering and Computer Science,NAS,Professor,2001,103410,136065.79
Electrical & Computer Engineering,Engineering and Computer Science,NAS,Professor,2000,98428,133190.8
Electrical & Computer Engineering,Engineering and Computer Science,NAS,Professor,1999,95754,133921.68
Electrical & Computer Engineering,Engineering and Computer Science,NAS,Professor,1998,92408,132011.43
Electrical & Computer Engineering,Engineering and Computer Science,NAS,Professor,1991,73837,126217.09
Electrical & Computer Engineering,Engineering and Computer Science,NAS,Professor,1990,72043,128418.89
English,Humanities,NAS,Professor,2009,106344,115465.8
English,Humanities,NAS,Professor,2008,105309,113970.78
English,Humanities,NAS,Professor,2007,96102,107979.78
English,Humanities,NAS,Professor,2006,97336,112527.17
English,Humanities,NAS,Professor,2005,93578,111668.26
English,Humanities,NAS,Professor,2003,87308,110516.46
English,Humanities,NAS,Professor,2002,85237,110410.62
English,Humanities,NAS,Professor,2001,82082,108002.63
English,Humanities,NAS,Professor,2000,73273,99151.56
English,Humanities,NAS,Professor,1999,77049,107760.84
English,Humanities,NAS,Professor,1998,71044,101491.43
English,Humanities,NAS,Professor,1997,67417,97847.61
English,Humanities,NAS,Professor,1996,65081,96559.35
English,Humanities,NAS,Professor,1995,62990,96314.98
English,Humanities,NAS,Professor,1994,60794,95588.05
English,Humanities,NAS,Professor,1993,56535,91185.48
English,Humanities,NAS,Professor,1992,56920,94550.15
English,Humanities,NAS,Professor,1991,55683,95184.62
English,Humanities,NAS,Professor,1990,55094,98206.77
Family Studies & Social Work,Humanities,NAS,Professor,2009,107262,116462.54
Family Studies & Social Work,Humanities,NAS,Professor,2008,106786,115569.26
Family Studies & Social Work,Humanities,NAS,Professor,2007,100984,113465.17
Family Studies & Social Work,Humanities,NAS,Professor,2006,97057,112204.62
Family Studies & Social Work,Humanities,NAS,Professor,2005,92970,110942.72
Family Studies & Social Work,Humanities,NAS,Professor,2003,82008,103807.59
Family Studies & Social Work,Humanities,NAS,Professor,2002,82184,106455.96
Family Studies & Social Work,Humanities,NAS,Professor,2001,80227,105561.84
Family Studies & Social Work,Humanities,NAS,Professor,2000,77383,104713.13
Family Studies & Social Work,Humanities,NAS,Professor,1999,73579,102907.69
Family Studies & Social Work,Humanities,NAS,Professor,1998,70247,100352.86
Family Studies & Social Work,Humanities,NAS,Professor,1997,71634,103968.07
Family Studies & Social Work,Humanities,NAS,Professor,1996,65378,97000
Family Studies & Social Work,Humanities,NAS,Professor,1995,63497,97090.21
Family Studies & Social Work,Humanities,NAS,Professor,1994,58316,91691.82
Family Studies & Social Work,Humanities,NAS,Professor,1993,54996,88703.23
Family Studies & Social Work,Humanities,NAS,Professor,1992,54490,90514.95
Family Studies & Social Work,Humanities,NAS,Professor,1991,54196,92642.74
Family Studies & Social Work,Humanities,NAS,Professor,1990,54849,97770.05
Finance,Business,NAS,Professor,2009,169344,183869.71
Finance,Business,NAS,Professor,2008,167269,181027.06
Finance,Business,NAS,Professor,2007,164041,184315.73
Finance,Business,NAS,Professor,2006,154865,179034.68
Finance,Business,NAS,Professor,2005,146765,175137.23
Finance,Business,NAS,Professor,2003,129978,164529.11
Finance,Business,NAS,Professor,2002,124951,161853.63
Finance,Business,NAS,Professor,2001,121130,159381.58
Finance,Business,NAS,Professor,2000,115314,156040.6
Finance,Business,NAS,Professor,1999,107760,150713.29
Finance,Business,NAS,Professor,1998,104279,148970
Finance,Business,NAS,Professor,1997,97936,142142.24
Finance,Business,NAS,Professor,1996,92304,136949.55
Finance,Business,NAS,Professor,1995,87176,133296.64
Finance,Business,NAS,Professor,1994,83454,131216.98
Finance,Business,NAS,Professor,1993,78542,126680.65
Finance,Business,NAS,Professor,1992,75882,126049.83
Finance,Business,NAS,Professor,1991,74859,127964.1
Finance,Business,NAS,Professor,1990,73473,130967.91
French & Italian,Humanities,NAS,Professor,2009,97404,105758.96
French & Italian,Humanities,NAS,Professor,2008,98801,106927.49
French & Italian,Humanities,NAS,Professor,2007,96077,107951.69
French & Italian,Humanities,NAS,Professor,2006,91612,105909.83
French & Italian,Humanities,NAS,Professor,2005,88324,105398.57
French & Italian,Humanities,NAS,Professor,2003,80617,102046.84
French & Italian,Humanities,NAS,Professor,2002,78109,101177.46
French & Italian,Humanities,NAS,Professor,2001,74648,98221.05
French & Italian,Humanities,NAS,Professor,2000,73794,99856.56
French & Italian,Humanities,NAS,Professor,1999,71868,100514.69
French & Italian,Humanities,NAS,Professor,1998,68636,98051.43
French & Italian,Humanities,NAS,Professor,1997,65439,94976.78
French & Italian,Humanities,NAS,Professor,1996,65348,96955.49
French & Italian,Humanities,NAS,Professor,1995,62351,95337.92
French & Italian,Humanities,NAS,Professor,1994,60866,95701.26
French & Italian,Humanities,NAS,Professor,1993,59630,96177.42
French & Italian,Humanities,NAS,Professor,1992,60320,100199.34
French & Italian,Humanities,NAS,Professor,1991,57994,99135.04
French & Italian,Humanities,NAS,Professor,1990,57637,102739.75
Geography,Social Science,NAS,Professor,2009,104053,112978.28
Geography,Social Science,NAS,Professor,2008,104289,112866.88
Geography,Social Science,NAS,Professor,2007,99722,112047.19
Geography,Social Science,NAS,Professor,2006,94106,108793.06
Geography,Social Science,NAS,Professor,2005,90603,108118.14
Geography,Social Science,NAS,Professor,2003,82646,104615.19
Geography,Social Science,NAS,Professor,2002,81192,105170.98
Geography,Social Science,NAS,Professor,2001,79248,104273.68
Geography,Social Science,NAS,Professor,2000,75415,102050.07
Geography,Social Science,NAS,Professor,1999,71325,99755.24
Geography,Social Science,NAS,Professor,1998,72337,103338.57
Geography,Social Science,NAS,Professor,1997,65802,95503.63
Geography,Social Science,NAS,Professor,1996,63801,94660.24
Geography,Social Science,NAS,Professor,1995,61352,93810.4
Geography,Social Science,NAS,Professor,1994,60441,95033.02
Geography,Social Science,NAS,Professor,1993,57142,92164.52
Geography,Social Science,NAS,Professor,1992,58325,96885.38
Geography,Social Science,NAS,Professor,1991,57423,98158.97
Geography,Social Science,NAS,Professor,1990,56655,100989.3
Geology,Science and Math,NAS,Professor,2009,110095,119538.55
Geology,Science and Math,NAS,Professor,2008,108154,117049.78
Geology,Science and Math,NAS,Professor,2007,103296,116062.92
Geology,Science and Math,NAS,Professor,2006,98239,113571.1
Geology,Science and Math,NAS,Professor,2005,94707,113015.51
Geology,Science and Math,NAS,Professor,2003,84810,107354.43
Geology,Science and Math,NAS,Professor,2002,82922,107411.92
Geology,Science and Math,NAS,Professor,2001,81195,106835.53
Geology,Science and Math,NAS,Professor,2000,77266,104554.8
Geology,Science and Math,NAS,Professor,1999,75741,105931.47
Geology,Science and Math,NAS,Professor,1998,72419,103455.71
Geology,Science and Math,NAS,Professor,1997,69974,101558.78
Geology,Science and Math,NAS,Professor,1996,67468,100100.89
Geology,Science and Math,NAS,Professor,1995,65232,99743.12
Geology,Science and Math,NAS,Professor,1994,63252,99452.83
Geology,Science and Math,NAS,Professor,1993,60369,97369.35
Geology,Science and Math,NAS,Professor,1992,60606,100674.42
Geology,Science and Math,NAS,Professor,1991,58337,99721.37
Geology,Science and Math,NAS,Professor,1990,58385,104073.08
GREAL,Humanities,NAS,Professor,2009,96189,104439.74
GREAL,Humanities,NAS,Professor,2008,94210,101958.87
GREAL,Humanities,NAS,Professor,2007,95796,107635.96
GREAL,Humanities,NAS,Professor,2006,90070,104127.17
GREAL,Humanities,NAS,Professor,2005,87929,104927.21
GREAL,Humanities,NAS,Professor,2003,82549,104492.41
GREAL,Humanities,NAS,Professor,2002,80616,104424.87
GREAL,Humanities,NAS,Professor,2001,78310,103039.47
GREAL,Humanities,NAS,Professor,2000,73192,99041.95
GREAL,Humanities,NAS,Professor,1999,69497,97198.6
GREAL,Humanities,NAS,Professor,1998,67917,97024.29
GREAL,Humanities,NAS,Professor,1997,65070,94441.22
GREAL,Humanities,NAS,Professor,1996,62497,92725.52
GREAL,Humanities,NAS,Professor,1995,60801,92967.89
GREAL,Humanities,NAS,Professor,1994,58964,92710.69
GREAL,Humanities,NAS,Professor,1993,57094,92087.1
GREAL,Humanities,NAS,Professor,1992,58376,96970.1
GREAL,Humanities,NAS,Professor,1991,56226,96112.82
GREAL,Humanities,NAS,Professor,1990,57577,102632.8
History,Humanities,NAS,Professor,2009,105549,114602.61
History,Humanities,NAS,Professor,2008,104332,112913.42
History,Humanities,NAS,Professor,2007,101332,113856.18
History,Humanities,NAS,Professor,2006,96325,111358.38
History,Humanities,NAS,Professor,2005,92414,110279.24
History,Humanities,NAS,Professor,2003,85209,107859.49
History,Humanities,NAS,Professor,2002,82512,106880.83
History,Humanities,NAS,Professor,2001,81466,107192.11
History,Humanities,NAS,Professor,2000,77849,105343.71
History,Humanities,NAS,Professor,1999,74600,104335.66
History,Humanities,NAS,Professor,1998,71387,101981.43
History,Humanities,NAS,Professor,1997,68128,98879.54
History,Humanities,NAS,Professor,1996,65946,97842.73
History,Humanities,NAS,Professor,1995,63570,97201.83
History,Humanities,NAS,Professor,1994,61341,96448.11
History,Humanities,NAS,Professor,1993,58649,94595.16
History,Humanities,NAS,Professor,1992,59289,98486.71
History,Humanities,NAS,Professor,1991,58211,99505.98
History,Humanities,NAS,Professor,1990,57732,102909.09
Communications and Speech Pathology,Other,NAS,Professor,1991,54258,92748.72
Communications and Speech Pathology,Other,NAS,Professor,1990,54050,96345.81
Sociology/Gerontology/Anthropology,Social Science,NAS,Professor,2001,82356,108363.16
Sociology/Gerontology/Anthropology,Social Science,NAS,Professor,2000,78900,106765.9
Sociology/Gerontology/Anthropology,Social Science,NAS,Professor,1997,67905,98555.88
Sociology/Gerontology/Anthropology,Social Science,NAS,Professor,1996,65935,97826.41
Sociology/Gerontology/Anthropology,Social Science,NAS,Professor,1995,64004,97865.44
Sociology/Gerontology/Anthropology,Social Science,NAS,Professor,1994,61637.3566878981,96914.08
Sociology/Gerontology/Anthropology,Social Science,NAS,Professor,1993,59151.7693194925,95406.08
Sociology/Gerontology/Anthropology,Social Science,NAS,Professor,1992,59615.5820568928,99029.21
Sociology/Gerontology/Anthropology,Social Science,NAS,Professor,1991,58846,100591.45
Sociology/Gerontology/Anthropology,Social Science,NAS,Professor,1990,58305,103930.48
Communications and Speech Pathology,Other,NAS,Professor,1997,66541,96576.2
Communications and Speech Pathology,Other,NAS,Professor,1996,66064,98017.8
Communications and Speech Pathology,Other,NAS,Professor,1995,63293,96778.29
Communications and Speech Pathology,Other,NAS,Professor,1994,60385,94944.97
Communications and Speech Pathology,Other,NAS,Professor,1993,57537,92801.61
Communications and Speech Pathology,Other,NAS,Professor,1992,57491,95500
Communications and Speech Pathology,Other,NAS,Professor,1991,55313,94552.14
Communications and Speech Pathology,Other,NAS,Professor,1990,54133,96493.76
Kinesiology & Health,Education and Health,NAS,Professor,2009,102064,110818.68
Kinesiology & Health,Education and Health,NAS,Professor,2008,101086,109400.43
Kinesiology & Health,Education and Health,NAS,Professor,2007,97592,109653.93
Kinesiology & Health,Education and Health,NAS,Professor,2006,92051,106417.34
Kinesiology & Health,Education and Health,NAS,Professor,2005,91800,109546.54
Kinesiology & Health,Education and Health,NAS,Professor,2003,83437,105616.46
Kinesiology & Health,Education and Health,NAS,Professor,2002,85177,110332.9
Kinesiology & Health,Education and Health,NAS,Professor,2001,81623,107398.68
Kinesiology & Health,Education and Health,NAS,Professor,2000,78407,106098.78
Kinesiology & Health,Education and Health,NAS,Professor,1999,75981,106267.13
Kinesiology & Health,Education and Health,NAS,Professor,1998,72456,103508.57
Kinesiology & Health,Education and Health,NAS,Professor,1997,70493,102312.05
Kinesiology & Health,Education and Health,NAS,Professor,1996,64737,96048.96
Kinesiology & Health,Education and Health,NAS,Professor,1995,62865,96123.85
Kinesiology & Health,Education and Health,NAS,Professor,1994,61865,97272.01
Kinesiology & Health,Education and Health,NAS,Professor,1993,61714,99538.71
Kinesiology & Health,Education and Health,NAS,Professor,1992,59203,98343.85
Kinesiology & Health,Education and Health,NAS,Professor,1991,53506,91463.25
Kinesiology & Health,Education and Health,NAS,Professor,1990,52910,94313.73
Management,Business,NAS,Professor,2009,169363,183890.34
Management,Business,NAS,Professor,2008,164434,177958.87
Management,Business,NAS,Professor,2007,154764,173892.13
Management,Business,NAS,Professor,2006,147908,170991.91
Management,Business,NAS,Professor,2005,140608,167789.98
Management,Business,NAS,Professor,2003,127095,160879.75
Management,Business,NAS,Professor,2002,120782,156453.37
Management,Business,NAS,Professor,2001,120244,158215.79
Management,Business,NAS,Professor,2000,110753,149868.74
Management,Business,NAS,Professor,1999,99747,139506.29
Management,Business,NAS,Professor,1998,99106,141580
Management,Business,NAS,Professor,1997,96577,140169.81
Management,Business,NAS,Professor,1996,93646,138940.65
Management,Business,NAS,Professor,1995,85254,130357.8
Management,Business,NAS,Professor,1994,81524,128182.39
Management,Business,NAS,Professor,1993,74109,119530.65
Management,Business,NAS,Professor,1992,73583,122230.9
Management,Business,NAS,Professor,1991,70090,119811.97
Management,Business,NAS,Professor,1990,70154,125051.69
MIS,Business,NAS,Professor,2008,154220,166904.76
MIS,Business,NAS,Professor,2007,148642,167013.48
MIS,Business,NAS,Professor,2006,135298,156413.87
MIS,Business,NAS,Professor,2005,129028,153971.36
MIS,Business,NAS,Professor,2003,117255,148424.05
MIS,Business,NAS,Professor,2002,117669,152420.98
MIS,Business,NAS,Professor,2001,115057,151390.79
MIS,Business,NAS,Professor,2000,105912,143318
MIS,Business,NAS,Professor,1999,95631,133749.65
MIS,Business,NAS,Professor,1998,94421,134887.14
MIS,Business,NAS,Professor,1997,86048,124888.24
MIS,Business,NAS,Professor,1996,81609,121081.6
MIS,Business,NAS,Professor,1995,81417,124490.83
MIS,Business,NAS,Professor,1994,75625.2253521127,118907.59
MIS,Business,NAS,Professor,1993,71450.2093023256,115242.27
MIS,Business,NAS,Professor,1992,69762.6043956044,115884.72
MIS,Business,NAS,Professor,1991,63484,108519.66
MIS,Business,NAS,Professor,1990,62457,111331.55
Marketing,Business,NAS,Professor,2009,152923,166040.17
Marketing,Business,NAS,Professor,2008,152530,165075.76
Marketing,Business,NAS,Professor,2007,147161,165349.44
Marketing,Business,NAS,Professor,2006,139219,160946.82
Marketing,Business,NAS,Professor,2005,133882,159763.72
Marketing,Business,NAS,Professor,2003,116857,147920.25
Marketing,Business,NAS,Professor,2002,112279,145439.12
Marketing,Business,NAS,Professor,2001,110243,145056.58
Marketing,Business,NAS,Professor,2000,106645,144309.88
Marketing,Business,NAS,Professor,1999,101921,142546.85
Marketing,Business,NAS,Professor,1998,98870,141242.86
Marketing,Business,NAS,Professor,1997,92701,134544.27
Marketing,Business,NAS,Professor,1996,88844,131816.02
Marketing,Business,NAS,Professor,1995,84072,128550.46
Marketing,Business,NAS,Professor,1994,81200,127672.96
Marketing,Business,NAS,Professor,1993,75868,122367.74
Marketing,Business,NAS,Professor,1992,73012,121282.39
Marketing,Business,NAS,Professor,1991,71684,122536.75
Marketing,Business,NAS,Professor,1990,69322,123568.63
Mathematics & Statistics,Science and Math,NAS,Professor,2009,112212,121837.13
Mathematics & Statistics,Science and Math,NAS,Professor,2008,111117,120256.49
Mathematics & Statistics,Science and Math,NAS,Professor,2007,104951,117922.47
Mathematics & Statistics,Science and Math,NAS,Professor,2006,102959,119027.75
Mathematics & Statistics,Science and Math,NAS,Professor,2005,98962,118093.08
Mathematics & Statistics,Science and Math,NAS,Professor,2003,91184,115422.78
Mathematics & Statistics,Science and Math,NAS,Professor,2002,89423,115832.9
Mathematics & Statistics,Science and Math,NAS,Professor,2001,86932,114384.21
Mathematics & Statistics,Science and Math,NAS,Professor,2000,80990,109594.05
Mathematics & Statistics,Science and Math,NAS,Professor,1999,81882,114520.28
Mathematics & Statistics,Science and Math,NAS,Professor,1998,77081,110115.71
Mathematics & Statistics,Science and Math,NAS,Professor,1997,73561,106764.88
Mathematics & Statistics,Science and Math,NAS,Professor,1996,71898,106673.59
Mathematics & Statistics,Science and Math,NAS,Professor,1995,68951,105429.66
Mathematics & Statistics,Science and Math,NAS,Professor,1994,66621,104750
Mathematics & Statistics,Science and Math,NAS,Professor,1993,63075,101733.87
Mathematics & Statistics,Science and Math,NAS,Professor,1992,63166,104926.91
Mathematics & Statistics,Science and Math,NAS,Professor,1991,61465,105068.38
Mathematics & Statistics,Science and Math,NAS,Professor,1990,60192,107294.12
Mechanical & Manufacturing Engineering,Engineering and Computer Science,NAS,Professor,2009,127447,138378.94
Mechanical & Manufacturing Engineering,Engineering and Computer Science,NAS,Professor,2008,126289,136676.41
Mechanical & Manufacturing Engineering,Engineering and Computer Science,NAS,Professor,2007,123167,138389.89
Mechanical & Manufacturing Engineering,Engineering and Computer Science,NAS,Professor,2006,118391,136868.21
Mechanical & Manufacturing Engineering,Engineering and Computer Science,NAS,Professor,2005,112655,134433.17
Mechanical & Manufacturing Engineering,Engineering and Computer Science,NAS,Professor,2003,103427,130920.25
Mechanical & Manufacturing Engineering,Engineering and Computer Science,NAS,Professor,2002,101241,131141.19
Mechanical & Manufacturing Engineering,Engineering and Computer Science,NAS,Professor,2001,98631,129777.63
Mechanical & Manufacturing Engineering,Engineering and Computer Science,NAS,Professor,2000,96929,131162.38
Mechanical & Manufacturing Engineering,Engineering and Computer Science,NAS,Professor,1999,95341,133344.06
Mechanical & Manufacturing Engineering,Engineering and Computer Science,NAS,Professor,1998,92192,131702.86
Mechanical & Manufacturing Engineering,Engineering and Computer Science,NAS,Professor,1997,86387,125380.26
Mechanical & Manufacturing Engineering,Engineering and Computer Science,NAS,Professor,1996,83144,123359.05
Mechanical & Manufacturing Engineering,Engineering and Computer Science,NAS,Professor,1995,80047,122396.02
Mechanical & Manufacturing Engineering,Engineering and Computer Science,NAS,Professor,1994,77711,122187.11
Mechanical & Manufacturing Engineering,Engineering and Computer Science,NAS,Professor,1993,73877,119156.45
Mechanical & Manufacturing Engineering,Engineering and Computer Science,NAS,Professor,1992,72628,120644.52
Mechanical & Manufacturing Engineering,Engineering and Computer Science,NAS,Professor,1991,70160,119931.62
Mechanical & Manufacturing Engineering,Engineering and Computer Science,NAS,Professor,1990,69735,124304.81
Microbiology,Science and Math,NAS,Professor,2009,121986,132449.51
Microbiology,Science and Math,NAS,Professor,2008,121315,131293.29
Microbiology,Science and Math,NAS,Professor,2007,113591,127630.34
